date;united kingdom;england;reese witherspoon;abortion;air travel;isPartial
2022-01-01;4;62;1;3;1;False
2022-01-02;5;75;1;3;1;False
2022-01-03;5;68;1;4;1;False
2022-01-04;6;88;0;4;1;False
2022-01-05;6;92;1;3;1;False
2022-01-06;6;82;0;5;1;False
2022-01-07;6;84;1;3;1;False
2022-01-08;5;90;1;3;1;False
2022-01-09;5;96;1;3;1;False
2022-01-10;6;74;1;4;2;False
2022-01-11;6;72;1;4;1;False
2022-01-12;6;87;0;3;1;False
2022-01-13;7;72;1;3;2;False
2022-01-14;6;69;1;4;2;False
2022-01-15;5;91;1;4;1;False
2022-01-16;5;99;1;4;1;False
2022-01-17;6;73;0;4;1;False
2022-01-18;6;77;1;4;1;False
2022-01-19;6;71;0;3;1;False
2022-01-20;6;65;1;4;1;False
2022-01-21;6;78;1;3;1;False
2022-01-22;5;95;1;4;1;False
2022-01-23;5;99;1;4;1;False
2022-01-24;7;100;0;4;2;False
2022-01-25;6;70;1;4;1;False
2022-01-26;6;79;0;3;1;False
2022-01-27;6;69;1;4;1;False
2022-01-28;5;62;1;3;1;False
2022-01-29;5;99;1;3;1;False
2022-01-30;4;93;1;4;1;False
2022-01-31;7;75;0;4;2;False
