date;Dominican Republic;Period and historical films;Andrew Neil;Arizona;air travel;isPartial
2022-01-01;64;0;14;58;13;False
2022-01-02;87;0;7;74;30;False
2022-01-03;75;0;20;69;20;False
2022-01-04;66;0;18;47;24;False
2022-01-05;83;0;11;44;36;False
2022-01-06;68;0;6;51;27;False
2022-01-07;64;0;4;50;33;False
2022-01-08;91;0;7;54;29;False
2022-01-09;99;0;4;56;22;False
2022-01-10;80;0;11;62;38;False
2022-01-11;76;0;16;47;30;False
2022-01-12;73;0;15;60;33;False
2022-01-13;65;0;12;48;38;False
2022-01-14;82;0;12;43;36;False
2022-01-15;79;0;19;55;34;False
2022-01-16;100;0;16;64;35;False
2022-01-17;80;0;14;57;25;False
2022-01-18;57;0;9;61;30;False
2022-01-19;68;0;10;42;32;False
2022-01-20;55;0;12;51;18;False
2022-01-21;62;0;6;60;17;False
2022-01-22;82;0;9;51;24;False
2022-01-23;89;0;13;60;31;False
2022-01-24;79;0;20;61;34;False
2022-01-25;71;0;14;48;23;False
2022-01-26;62;0;7;42;30;False
2022-01-27;65;0;16;41;26;False
2022-01-28;64;0;4;72;24;False
2022-01-29;70;0;10;53;18;False
2022-01-30;84;0;68;56;33;False
2022-01-31;65;0;43;61;37;False
