date;james bond;music;hydrogen vehicles;business in africa;air travel;isPartial
2022-01-01;18;100;0;0;1;False
2022-01-02;20;68;0;0;1;False
2022-01-03;11;58;0;0;1;False
2022-01-04;7;59;0;0;1;False
2022-01-05;7;62;0;0;1;False
2022-01-06;6;70;0;0;1;False
2022-01-07;8;69;0;0;1;False
2022-01-08;12;67;0;0;1;False
2022-01-09;11;73;0;0;1;False
2022-01-10;5;67;0;0;2;False
2022-01-11;5;72;0;0;1;False
2022-01-12;5;77;0;0;1;False
2022-01-13;5;70;0;0;1;False
2022-01-14;6;68;0;0;1;False
2022-01-15;8;75;0;0;1;False
2022-01-16;24;79;0;0;1;False
2022-01-17;4;64;0;0;1;False
2022-01-18;3;62;0;0;1;False
2022-01-19;3;57;0;0;1;False
2022-01-20;4;70;0;0;1;False
2022-01-21;5;74;0;0;1;False
2022-01-22;9;75;0;0;1;False
2022-01-23;7;77;0;0;1;False
2022-01-24;4;78;0;0;1;False
2022-01-25;4;69;0;0;1;False
2022-01-26;4;63;0;0;1;False
2022-01-27;4;65;0;0;1;False
2022-01-28;4;69;0;0;1;False
2022-01-29;6;78;0;0;1;False
2022-01-30;5;71;0;0;1;False
2022-01-31;3;65;0;0;1;False
