date;Opec;Angus and Julia Stone;Fleetwood Mac;Asthma;air travel;isPartial
2022-01-01;0;0;36;54;11;False
2022-01-02;0;0;42;58;20;False
2022-01-03;2;0;18;68;16;False
2022-01-04;8;0;19;82;17;False
2022-01-05;6;2;23;81;24;False
2022-01-06;6;0;21;82;19;False
2022-01-07;3;0;24;74;20;False
2022-01-08;0;0;85;59;22;False
2022-01-09;0;0;33;75;17;False
2022-01-10;8;0;19;93;30;False
2022-01-11;1;0;22;95;24;False
2022-01-12;0;0;19;82;21;False
2022-01-13;2;0;24;87;31;False
2022-01-14;0;2;23;85;26;False
2022-01-15;3;0;25;72;21;False
2022-01-16;2;0;24;69;22;False
2022-01-17;0;5;19;90;20;False
2022-01-18;4;2;14;85;18;False
2022-01-19;0;2;17;77;23;False
2022-01-20;0;0;19;90;17;False
2022-01-21;0;0;21;81;12;False
2022-01-22;2;3;40;56;17;False
2022-01-23;4;2;27;76;21;False
2022-01-24;6;0;26;100;30;False
2022-01-25;3;0;20;90;15;False
2022-01-26;2;0;16;79;20;False
2022-01-27;3;0;23;82;22;False
2022-01-28;0;3;23;80;15;False
2022-01-29;4;0;31;67;19;False
2022-01-30;0;0;22;61;22;False
2022-01-31;4;7;23;77;26;False
