date;Polio;Beirut explosion;Activism;Matteo Salvini;air travel;isPartial
2022-01-01;39;0;5;0;34;False
2022-01-02;83;13;15;0;63;False
2022-01-03;43;0;11;0;51;False
2022-01-04;18;5;0;0;54;False
2022-01-05;27;0;18;0;77;False
2022-01-06;29;8;8;8;61;False
2022-01-07;74;0;8;0;63;False
2022-01-08;39;0;0;0;71;False
2022-01-09;25;11;10;0;55;False
2022-01-10;61;0;15;0;97;False
2022-01-11;41;0;8;0;79;False
2022-01-12;35;0;12;0;67;False
2022-01-13;30;6;5;0;100;False
2022-01-14;27;0;0;7;84;False
2022-01-15;26;9;8;13;66;False
2022-01-16;48;22;13;0;72;False
2022-01-17;19;0;8;0;65;False
2022-01-18;41;0;11;0;59;False
2022-01-19;20;5;12;0;74;False
2022-01-20;24;5;13;0;54;False
2022-01-21;40;0;5;0;38;False
2022-01-22;22;0;9;0;53;False
2022-01-23;17;6;0;0;69;False
2022-01-24;46;0;8;0;97;False
2022-01-25;22;7;9;0;49;False
2022-01-26;34;0;15;11;64;False
2022-01-27;40;0;11;9;71;False
2022-01-28;24;0;8;0;49;False
2022-01-29;57;0;7;0;60;False
2022-01-30;40;0;10;7;71;False
2022-01-31;22;11;0;0;82;False
