date;Pennsylvania;Infrastructure;John Terry;Jack Wilshere;air travel;isPartial
2022-01-01;24;16;24;15;18;False
2022-01-02;30;19;24;9;34;False
2022-01-03;23;38;15;9;28;False
2022-01-04;21;66;23;24;29;False
2022-01-05;24;57;20;33;42;False
2022-01-06;28;55;20;27;33;False
2022-01-07;21;53;27;20;34;False
2022-01-08;26;25;15;20;39;False
2022-01-09;20;43;15;15;30;False
2022-01-10;30;75;21;14;52;False
2022-01-11;24;67;7;4;43;False
2022-01-12;22;85;15;9;36;False
2022-01-13;29;77;12;28;54;False
2022-01-14;19;53;13;23;45;False
2022-01-15;19;19;16;11;36;False
2022-01-16;27;31;30;7;39;False
2022-01-17;29;79;9;5;35;False
2022-01-18;28;60;16;3;32;False
2022-01-19;20;77;8;5;40;False
2022-01-20;21;63;12;27;29;False
2022-01-21;20;61;16;8;21;False
2022-01-22;22;22;14;13;29;False
2022-01-23;23;30;22;35;37;False
2022-01-24;13;100;42;9;53;False
2022-01-25;26;73;18;7;27;False
2022-01-26;13;77;23;0;35;False
2022-01-27;24;64;30;3;39;False
2022-01-28;25;61;24;38;27;False
2022-01-29;33;28;31;20;32;False
2022-01-30;23;27;18;14;39;False
2022-01-31;27;64;26;27;45;False
