date;Television;Music;Janet Jackson;Six Nations 2022;air travel;isPartial
2022-01-01;4;100;0;1;1;False
2022-01-02;4;69;1;2;1;False
2022-01-03;4;59;1;1;1;False
2022-01-04;3;58;0;2;1;False
2022-01-05;3;62;0;2;1;False
2022-01-06;3;69;0;1;1;False
2022-01-07;4;65;1;2;1;False
2022-01-08;4;71;1;2;1;False
2022-01-09;3;62;0;3;1;False
2022-01-10;3;67;0;2;1;False
2022-01-11;3;67;0;3;1;False
2022-01-12;3;67;1;2;1;False
2022-01-13;3;70;0;3;2;False
2022-01-14;3;68;0;4;1;False
2022-01-15;3;80;1;4;1;False
2022-01-16;3;76;0;4;1;False
2022-01-17;3;68;0;3;1;False
2022-01-18;3;64;1;5;1;False
2022-01-19;3;56;0;3;1;False
2022-01-20;3;70;1;3;1;False
2022-01-21;3;69;1;5;1;False
2022-01-22;3;69;1;5;1;False
2022-01-23;3;74;1;4;1;False
2022-01-24;4;80;1;4;1;False
2022-01-25;2;66;1;4;1;False
2022-01-26;3;70;1;5;1;False
2022-01-27;3;65;0;5;1;False
2022-01-28;3;73;1;6;1;False
2022-01-29;3;76;2;8;1;False
2022-01-30;3;69;3;7;1;False
2022-01-31;3;64;7;7;1;False
