date;Cádiz;Swansea;Local elections;Evergrande;air travel;isPartial
2022-01-01;0;58;1;1;2;False
2022-01-02;0;75;1;1;4;False
2022-01-03;1;62;1;5;3;False
2022-01-04;1;75;1;4;3;False
2022-01-05;0;66;1;1;5;False
2022-01-06;0;61;2;1;4;False
2022-01-07;0;73;1;0;4;False
2022-01-08;0;100;1;1;4;False
2022-01-09;0;64;1;1;3;False
2022-01-10;1;75;0;1;6;False
2022-01-11;0;68;1;1;5;False
2022-01-12;1;67;2;1;4;False
2022-01-13;0;66;2;2;6;False
2022-01-14;0;66;2;0;5;False
2022-01-15;0;86;2;0;4;False
2022-01-16;0;65;2;0;4;False
2022-01-17;0;72;3;1;4;False
2022-01-18;0;69;1;1;4;False
2022-01-19;0;65;2;1;4;False
2022-01-20;0;66;1;0;3;False
2022-01-21;0;70;0;1;2;False
2022-01-22;0;81;1;1;3;False
2022-01-23;0;63;1;0;4;False
2022-01-24;0;84;1;1;6;False
2022-01-25;0;87;1;1;3;False
2022-01-26;0;70;1;1;4;False
2022-01-27;0;71;2;1;4;False
2022-01-28;0;81;2;1;3;False
2022-01-29;0;85;1;0;4;False
2022-01-30;0;65;0;0;4;False
2022-01-31;0;85;2;1;5;False
