date;Brazil;World Health Organization;Nutrition;Viktor Orbán;air travel;isPartial
2022-01-01;31;1;28;1;3;False
2022-01-02;28;1;37;0;6;False
2022-01-03;33;1;37;1;5;False
2022-01-04;33;1;42;0;5;False
2022-01-05;36;1;45;0;7;False
2022-01-06;31;1;44;0;6;False
2022-01-07;31;1;41;0;6;False
2022-01-08;46;0;40;0;7;False
2022-01-09;100;0;43;0;5;False
2022-01-10;52;1;50;0;9;False
2022-01-11;42;2;43;0;7;False
2022-01-12;36;2;43;0;6;False
2022-01-13;45;1;41;0;9;False
2022-01-14;34;2;42;0;8;False
2022-01-15;44;0;40;0;6;False
2022-01-16;35;2;43;0;7;False
2022-01-17;35;2;43;0;6;False
2022-01-18;37;1;42;0;5;False
2022-01-19;33;2;37;0;7;False
2022-01-20;33;3;41;0;5;False
2022-01-21;33;0;38;1;3;False
2022-01-22;35;1;39;0;5;False
2022-01-23;36;1;38;0;6;False
2022-01-24;38;1;48;1;9;False
2022-01-25;36;1;40;0;5;False
2022-01-26;41;2;42;0;6;False
2022-01-27;100;1;45;0;7;False
2022-01-28;77;1;37;0;5;False
2022-01-29;42;1;35;0;5;False
2022-01-30;35;0;41;0;7;False
2022-01-31;34;1;44;0;8;False
