date;Child rights;Fishing industry;Hedwig and The Angry Inch;Opioids;air travel;isPartial
2022-01-01;14;0;0;12;34;False
2022-01-02;18;0;0;12;63;False
2022-01-03;19;0;0;9;51;False
2022-01-04;11;0;0;6;54;False
2022-01-05;18;0;10;14;77;False
2022-01-06;10;0;0;12;61;False
2022-01-07;13;0;7;15;63;False
2022-01-08;14;0;0;6;71;False
2022-01-09;13;0;0;22;55;False
2022-01-10;26;0;0;5;97;False
2022-01-11;28;0;0;13;79;False
2022-01-12;23;4;0;24;67;False
2022-01-13;29;0;0;8;100;False
2022-01-14;22;0;0;11;84;False
2022-01-15;13;8;0;14;66;False
2022-01-16;20;0;0;0;72;False
2022-01-17;25;0;0;0;65;False
2022-01-18;12;0;0;11;59;False
2022-01-19;24;5;0;11;74;False
2022-01-20;23;0;0;8;54;False
2022-01-21;29;20;0;19;38;False
2022-01-22;0;5;6;9;53;False
2022-01-23;23;5;0;5;69;False
2022-01-24;32;0;0;21;97;False
2022-01-25;32;0;0;10;49;False
2022-01-26;15;0;0;0;64;False
2022-01-27;23;0;0;7;71;False
2022-01-28;27;4;4;0;49;False
2022-01-29;0;0;10;14;60;False
2022-01-30;15;9;7;0;71;False
2022-01-31;24;0;15;10;82;False
