date;Kyle Rittenhouse;NCA (National Crime Agency);Information commissioner;Encryption;air travel;isPartial
2022-01-01;14;0;0;6;34;False
2022-01-02;16;0;0;13;63;False
2022-01-03;27;0;0;18;51;False
2022-01-04;10;0;0;47;54;False
2022-01-05;7;0;0;47;77;False
2022-01-06;18;0;19;30;61;False
2022-01-07;29;0;0;59;63;False
2022-01-08;32;0;6;23;71;False
2022-01-09;28;0;9;33;55;False
2022-01-10;6;0;6;64;97;False
2022-01-11;8;0;11;55;79;False
2022-01-12;31;0;14;79;67;False
2022-01-13;14;0;0;66;100;False
2022-01-14;8;0;0;60;84;False
2022-01-15;28;11;0;41;66;False
2022-01-16;7;0;9;41;72;False
2022-01-17;0;0;4;49;65;False
2022-01-18;11;0;0;88;59;False
2022-01-19;6;23;9;66;74;False
2022-01-20;18;5;0;71;54;False
2022-01-21;17;0;10;46;38;False
2022-01-22;11;0;7;23;53;False
2022-01-23;9;14;0;41;69;False
2022-01-24;0;0;0;63;97;False
2022-01-25;0;0;6;76;49;False
2022-01-26;14;11;0;84;64;False
2022-01-27;0;0;0;72;71;False
2022-01-28;15;0;0;72;49;False
2022-01-29;14;0;0;17;60;False
2022-01-30;13;0;13;17;71;False
2022-01-31;22;0;0;55;82;False
