date;Action games;Mathematics;Xi Jinping;Design;air travel;isPartial
2022-01-01;0;2;0;55;1;False
2022-01-02;0;2;0;70;2;False
2022-01-03;0;3;0;67;2;False
2022-01-04;0;4;1;80;2;False
2022-01-05;0;3;0;80;3;False
2022-01-06;0;3;1;81;2;False
2022-01-07;0;2;0;76;2;False
2022-01-08;1;3;0;75;3;False
2022-01-09;0;3;0;82;2;False
2022-01-10;0;4;1;90;4;False
2022-01-11;0;4;1;86;3;False
2022-01-12;0;3;0;86;3;False
2022-01-13;0;4;0;90;4;False
2022-01-14;0;2;0;77;3;False
2022-01-15;0;3;0;72;3;False
2022-01-16;0;3;0;83;3;False
2022-01-17;0;3;1;87;2;False
2022-01-18;0;4;1;83;2;False
2022-01-19;0;4;0;78;3;False
2022-01-20;0;4;0;77;2;False
2022-01-21;0;2;0;76;1;False
2022-01-22;0;2;0;70;2;False
2022-01-23;0;4;0;77;3;False
2022-01-24;0;4;1;100;4;False
2022-01-25;0;5;0;86;2;False
2022-01-26;0;3;0;86;2;False
2022-01-27;1;4;1;80;3;False
2022-01-28;0;3;0;81;2;False
2022-01-29;0;2;1;72;2;False
2022-01-30;0;3;0;68;3;False
2022-01-31;0;4;0;84;3;False
