date;Aids and HIV;National disability insurance scheme;Tasmania;Greater Manchester;air travel;isPartial
2022-01-01;10;0;39;55;25;False
2022-01-02;4;0;18;77;46;False
2022-01-03;4;0;23;53;38;False
2022-01-04;7;0;16;76;40;False
2022-01-05;6;0;19;100;57;False
2022-01-06;0;0;28;78;45;False
2022-01-07;0;0;19;80;47;False
2022-01-08;0;0;23;50;52;False
2022-01-09;0;0;29;62;41;False
2022-01-10;5;0;18;92;71;False
2022-01-11;0;0;26;76;58;False
2022-01-12;10;0;24;100;50;False
2022-01-13;0;0;35;70;74;False
2022-01-14;17;0;60;79;62;False
2022-01-15;0;0;81;73;49;False
2022-01-16;13;0;43;72;53;False
2022-01-17;0;0;17;86;48;False
2022-01-18;0;0;29;79;43;False
2022-01-19;5;0;12;76;55;False
2022-01-20;4;0;32;69;40;False
2022-01-21;5;0;20;57;28;False
2022-01-22;15;0;25;72;39;False
2022-01-23;0;0;19;59;51;False
2022-01-24;8;0;35;98;72;False
2022-01-25;4;0;7;69;36;False
2022-01-26;6;0;19;64;47;False
2022-01-27;0;0;9;92;53;False
2022-01-28;0;0;28;80;36;False
2022-01-29;8;0;20;52;44;False
2022-01-30;0;0;26;92;53;False
2022-01-31;0;0;12;88;61;False
