date;Media law;Pensions;Leicester City;Batgirl;air travel;isPartial
2022-01-01;1;8;18;0;3;False
2022-01-02;0;10;19;1;5;False
2022-01-03;0;12;17;1;4;False
2022-01-04;1;27;18;1;4;False
2022-01-05;0;23;17;1;6;False
2022-01-06;1;23;19;1;5;False
2022-01-07;1;19;22;1;5;False
2022-01-08;0;13;74;2;6;False
2022-01-09;1;12;26;1;4;False
2022-01-10;1;27;22;2;7;False
2022-01-11;0;23;22;3;6;False
2022-01-12;0;26;20;4;5;False
2022-01-13;1;31;22;7;8;False
2022-01-14;1;21;21;4;6;False
2022-01-15;1;14;22;8;5;False
2022-01-16;0;13;20;3;6;False
2022-01-17;1;25;19;2;5;False
2022-01-18;0;29;18;5;5;False
2022-01-19;1;23;100;2;6;False
2022-01-20;0;25;37;5;4;False
2022-01-21;0;34;17;4;3;False
2022-01-22;0;12;24;4;4;False
2022-01-23;0;13;61;2;5;False
2022-01-24;2;29;20;4;8;False
2022-01-25;1;23;13;2;4;False
2022-01-26;1;31;14;3;5;False
2022-01-27;1;25;13;2;6;False
2022-01-28;0;27;18;2;4;False
2022-01-29;1;15;19;1;5;False
2022-01-30;0;13;16;2;6;False
2022-01-31;0;28;24;0;6;False
