date;St David's Day;Kristalina Georgieva;Chinese economy;Atlanta;air travel;isPartial
2022-01-01;0;0;0;55;15;False
2022-01-02;4;0;3;64;28;False
2022-01-03;0;3;0;59;23;False
2022-01-04;8;0;3;62;24;False
2022-01-05;0;0;0;56;34;False
2022-01-06;4;0;0;53;27;False
2022-01-07;6;4;3;62;28;False
2022-01-08;0;0;0;64;32;False
2022-01-09;0;0;0;100;25;False
2022-01-10;3;0;0;62;43;False
2022-01-11;6;0;0;48;35;False
2022-01-12;5;0;0;75;30;False
2022-01-13;16;0;3;68;45;False
2022-01-14;3;3;0;62;37;False
2022-01-15;3;12;0;69;29;False
2022-01-16;3;0;0;93;32;False
2022-01-17;6;0;2;68;29;False
2022-01-18;8;0;0;82;26;False
2022-01-19;4;0;0;58;33;False
2022-01-20;10;0;0;53;24;False
2022-01-21;2;0;2;60;17;False
2022-01-22;4;3;0;75;24;False
2022-01-23;4;0;0;69;31;False
2022-01-24;5;0;2;80;43;False
2022-01-25;11;0;0;57;22;False
2022-01-26;11;0;3;51;28;False
2022-01-27;10;0;5;47;32;False
2022-01-28;3;0;2;65;22;False
2022-01-29;4;0;0;66;27;False
2022-01-30;2;0;0;51;32;False
2022-01-31;5;0;0;55;37;False
