date;Aston Villa;Reims;Television & radio;Culture;air travel;isPartial
2022-01-01;12;0;0;4;1;False
2022-01-02;27;0;0;5;1;False
2022-01-03;10;0;0;6;1;False
2022-01-04;12;0;0;7;1;False
2022-01-05;14;0;0;7;1;False
2022-01-06;14;0;0;6;1;False
2022-01-07;21;0;0;6;1;False
2022-01-08;17;0;0;5;1;False
2022-01-09;20;0;0;6;1;False
2022-01-10;100;0;0;8;2;False
2022-01-11;25;0;0;8;1;False
2022-01-12;19;0;0;8;1;False
2022-01-13;19;0;0;7;2;False
2022-01-14;16;0;0;7;1;False
2022-01-15;97;0;0;7;1;False
2022-01-16;23;0;0;7;1;False
2022-01-17;14;0;0;8;1;False
2022-01-18;12;0;0;7;1;False
2022-01-19;13;0;0;8;1;False
2022-01-20;13;0;0;8;1;False
2022-01-21;14;0;0;6;1;False
2022-01-22;42;0;0;6;1;False
2022-01-23;15;3;0;7;1;False
2022-01-24;15;2;0;9;2;False
2022-01-25;12;0;0;8;1;False
2022-01-26;13;0;0;7;1;False
2022-01-27;14;0;0;8;1;False
2022-01-28;15;0;0;7;1;False
2022-01-29;16;1;0;6;1;False
2022-01-30;16;0;0;6;1;False
2022-01-31;23;1;0;8;1;False
