date;heathrow airport;beijing winter olympics;diabetes;cambodia;air travel;isPartial
2022-01-01;19;0;60;6;4;False
2022-01-02;26;1;68;9;7;False
2022-01-03;27;2;68;7;6;False
2022-01-04;23;0;80;7;6;False
2022-01-05;20;1;86;5;9;False
2022-01-06;19;1;87;9;7;False
2022-01-07;22;1;85;8;8;False
2022-01-08;20;1;65;8;9;False
2022-01-09;23;2;82;10;7;False
2022-01-10;23;1;90;7;12;False
2022-01-11;21;1;100;8;9;False
2022-01-12;23;0;94;7;8;False
2022-01-13;20;3;89;6;12;False
2022-01-14;19;0;80;6;10;False
2022-01-15;25;2;80;10;8;False
2022-01-16;33;1;78;8;9;False
2022-01-17;23;1;89;8;8;False
2022-01-18;21;2;92;6;7;False
2022-01-19;21;1;83;5;9;False
2022-01-20;20;1;84;7;6;False
2022-01-21;21;2;79;5;5;False
2022-01-22;21;2;63;8;6;False
2022-01-23;23;3;70;6;8;False
2022-01-24;28;1;96;8;12;False
2022-01-25;23;2;90;6;6;False
2022-01-26;21;1;95;4;8;False
2022-01-27;21;2;87;7;9;False
2022-01-28;20;2;86;6;6;False
2022-01-29;26;2;70;9;7;False
2022-01-30;23;2;70;6;9;False
2022-01-31;24;2;93;7;10;False
