date;Foundling Museum;Lemn Sissay;Black Panther;Superman;air travel;isPartial
2022-01-01;0;0;20;35;5;False
2022-01-02;0;0;17;43;9;False
2022-01-03;1;1;16;33;7;False
2022-01-04;1;9;12;31;7;False
2022-01-05;0;2;13;29;11;False
2022-01-06;0;2;12;27;9;False
2022-01-07;1;1;16;29;9;False
2022-01-08;2;2;17;41;10;False
2022-01-09;1;0;15;100;8;False
2022-01-10;1;0;15;28;13;False
2022-01-11;1;1;13;27;11;False
2022-01-12;1;1;13;30;9;False
2022-01-13;1;0;9;31;14;False
2022-01-14;1;1;11;30;12;False
2022-01-15;0;0;19;86;9;False
2022-01-16;1;1;13;51;10;False
2022-01-17;3;0;15;29;9;False
2022-01-18;1;2;10;24;8;False
2022-01-19;3;0;9;26;10;False
2022-01-20;2;0;10;24;8;False
2022-01-21;1;0;13;32;5;False
2022-01-22;1;0;17;46;7;False
2022-01-23;0;2;12;33;10;False
2022-01-24;0;0;15;29;14;False
2022-01-25;0;0;10;26;7;False
2022-01-26;2;0;11;30;9;False
2022-01-27;0;0;10;27;10;False
2022-01-28;0;2;10;29;7;False
2022-01-29;1;1;16;43;8;False
2022-01-30;0;0;12;30;10;False
2022-01-31;1;3;11;25;11;False
