date;Mohammed bin Salman;King Salman;Charlton Athletic;New South Wales holidays;air travel;isPartial
2022-01-01;0;0;46;0;19;False
2022-01-02;0;5;18;3;34;False
2022-01-03;0;0;19;0;28;False
2022-01-04;4;0;46;0;29;False
2022-01-05;0;5;12;0;42;False
2022-01-06;6;3;25;0;33;False
2022-01-07;9;0;19;0;35;False
2022-01-08;0;3;33;0;39;False
2022-01-09;4;0;100;3;30;False
2022-01-10;3;6;23;3;53;False
2022-01-11;0;0;17;0;43;False
2022-01-12;0;0;59;0;37;False
2022-01-13;5;0;27;0;55;False
2022-01-14;0;0;18;3;46;False
2022-01-15;3;0;56;0;36;False
2022-01-16;0;0;30;0;39;False
2022-01-17;0;0;29;0;36;False
2022-01-18;0;0;32;4;32;False
2022-01-19;5;6;17;0;41;False
2022-01-20;0;0;28;0;30;False
2022-01-21;4;0;33;0;21;False
2022-01-22;0;0;69;0;29;False
2022-01-23;0;2;32;0;38;False
2022-01-24;0;4;31;0;53;False
2022-01-25;0;0;45;0;27;False
2022-01-26;0;2;11;2;35;False
2022-01-27;5;0;19;0;39;False
2022-01-28;0;3;29;0;27;False
2022-01-29;0;0;32;0;33;False
2022-01-30;2;0;16;2;39;False
2022-01-31;6;0;80;0;45;False
