date;Oklahoma;Science fiction TV;The Mandalorian;Burberry group;air travel;isPartial
2022-01-01;21;0;45;0;16;False
2022-01-02;25;3;44;0;29;False
2022-01-03;25;0;43;0;24;False
2022-01-04;5;0;25;0;25;False
2022-01-05;26;0;40;8;35;False
2022-01-06;23;4;42;0;28;False
2022-01-07;17;0;57;0;29;False
2022-01-08;20;0;48;2;33;False
2022-01-09;23;0;49;0;25;False
2022-01-10;19;0;33;0;44;False
2022-01-11;42;0;21;0;36;False
2022-01-12;22;0;32;0;31;False
2022-01-13;26;11;33;0;46;False
2022-01-14;13;0;29;0;38;False
2022-01-15;18;0;32;3;30;False
2022-01-16;23;0;52;0;33;False
2022-01-17;16;0;22;2;30;False
2022-01-18;20;0;15;0;27;False
2022-01-19;11;0;37;0;34;False
2022-01-20;17;0;36;0;25;False
2022-01-21;20;0;35;3;17;False
2022-01-22;30;0;44;0;24;False
2022-01-23;18;0;40;0;32;False
2022-01-24;23;0;32;0;45;False
2022-01-25;24;0;23;0;23;False
2022-01-26;44;0;100;0;29;False
2022-01-27;25;0;62;0;33;False
2022-01-28;23;4;78;8;23;False
2022-01-29;18;0;67;0;28;False
2022-01-30;27;3;60;0;33;False
2022-01-31;23;0;48;0;38;False
