date;Hampstead theatre;Anthony Hopkins;Zimbabwe;Sculpture;air travel;isPartial
2022-01-01;2;33;36;54;9;False
2022-01-02;7;35;29;57;16;False
2022-01-03;3;21;28;59;13;False
2022-01-04;5;16;34;33;14;False
2022-01-05;4;16;26;37;19;False
2022-01-06;0;12;42;41;15;False
2022-01-07;4;13;33;39;16;False
2022-01-08;2;18;34;52;18;False
2022-01-09;3;20;44;52;14;False
2022-01-10;7;12;100;44;24;False
2022-01-11;3;11;42;38;20;False
2022-01-12;7;14;39;48;17;False
2022-01-13;2;9;32;52;25;False
2022-01-14;3;14;50;49;21;False
2022-01-15;4;36;42;47;17;False
2022-01-16;6;27;66;61;18;False
2022-01-17;2;17;40;37;16;False
2022-01-18;2;10;74;35;15;False
2022-01-19;2;11;38;41;19;False
2022-01-20;4;11;30;40;14;False
2022-01-21;3;11;42;34;10;False
2022-01-22;3;23;28;52;13;False
2022-01-23;0;22;31;67;17;False
2022-01-24;2;11;42;54;24;False
2022-01-25;4;9;44;40;12;False
2022-01-26;3;5;36;37;16;False
2022-01-27;3;9;33;43;18;False
2022-01-28;3;11;34;40;12;False
2022-01-29;4;18;33;44;15;False
2022-01-30;3;18;26;40;18;False
2022-01-31;2;11;33;35;21;False
