date;london violence;mongolia;morocco;lancashire constabulary;air travel;isPartial
2022-01-01;1;2;15;0;3;False
2022-01-02;0;1;17;0;5;False
2022-01-03;0;1;14;0;4;False
2022-01-04;0;2;15;0;4;False
2022-01-05;0;3;21;0;6;False
2022-01-06;0;4;20;0;5;False
2022-01-07;0;4;15;0;5;False
2022-01-08;0;3;18;0;6;False
2022-01-09;0;4;25;0;4;False
2022-01-10;1;3;46;0;7;False
2022-01-11;1;3;20;0;5;False
2022-01-12;0;2;18;0;6;False
2022-01-13;0;2;16;0;7;False
2022-01-14;1;3;24;0;6;False
2022-01-15;0;3;21;0;6;False
2022-01-16;0;2;20;0;7;False
2022-01-17;0;3;16;0;4;False
2022-01-18;0;2;26;0;4;False
2022-01-19;0;2;20;0;6;False
2022-01-20;0;2;18;0;4;False
2022-01-21;1;3;16;0;4;False
2022-01-22;0;3;20;0;3;False
2022-01-23;0;3;26;0;6;False
2022-01-24;0;5;26;0;7;False
2022-01-25;1;2;44;1;4;False
2022-01-26;1;2;24;2;5;False
2022-01-27;0;2;21;0;5;False
2022-01-28;0;3;20;0;5;False
2022-01-29;0;2;27;0;4;False
2022-01-30;1;3;100;0;5;False
2022-01-31;0;3;30;1;6;False
