date;Acting;Australian Open 2022;Australian Open;Holocaust;air travel;isPartial
2022-01-01;2;0;1;0;0;False
2022-01-02;3;1;1;0;1;False
2022-01-03;2;0;1;0;1;False
2022-01-04;2;1;2;1;1;False
2022-01-05;2;1;4;1;1;False
2022-01-06;2;1;4;1;1;False
2022-01-07;3;1;2;1;1;False
2022-01-08;2;1;3;0;1;False
2022-01-09;3;1;3;1;1;False
2022-01-10;3;2;5;1;1;False
2022-01-11;2;1;5;1;1;False
2022-01-12;3;1;4;1;1;False
2022-01-13;3;3;6;1;1;False
2022-01-14;2;2;7;1;1;False
2022-01-15;2;2;7;1;1;False
2022-01-16;2;5;15;1;1;False
2022-01-17;2;8;24;1;1;False
2022-01-18;2;13;39;1;1;False
2022-01-19;2;7;22;2;1;False
2022-01-20;2;9;32;1;1;False
2022-01-21;2;8;24;1;0;False
2022-01-22;2;8;23;1;1;False
2022-01-23;2;7;22;2;1;False
2022-01-24;3;8;26;2;1;False
2022-01-25;2;9;28;2;1;False
2022-01-26;2;10;29;5;1;False
2022-01-27;2;8;23;19;1;False
2022-01-28;2;11;33;6;1;False
2022-01-29;2;11;35;2;1;False
2022-01-30;2;23;100;2;1;False
2022-01-31;2;2;5;2;1;False
