date;canada;david bowie;steel industry;trump tariffs;air travel;isPartial
2022-01-01;28;6;0;0;1;False
2022-01-02;29;3;0;0;1;False
2022-01-03;30;5;0;0;1;False
2022-01-04;32;7;0;0;1;False
2022-01-05;30;3;0;0;2;False
2022-01-06;28;4;0;0;1;False
2022-01-07;28;9;0;0;1;False
2022-01-08;30;34;0;0;1;False
2022-01-09;30;14;0;0;1;False
2022-01-10;30;7;0;0;2;False
2022-01-11;26;5;0;0;2;False
2022-01-12;26;4;0;0;1;False
2022-01-13;29;4;0;0;2;False
2022-01-14;25;5;0;0;2;False
2022-01-15;30;4;0;0;1;False
2022-01-16;31;3;0;0;1;False
2022-01-17;28;3;0;0;1;False
2022-01-18;27;3;0;0;1;False
2022-01-19;24;2;0;0;2;False
2022-01-20;25;3;0;0;1;False
2022-01-21;24;4;0;0;1;False
2022-01-22;100;4;0;0;1;False
2022-01-23;39;4;0;0;1;False
2022-01-24;33;3;0;0;2;False
2022-01-25;26;2;0;0;1;False
2022-01-26;27;2;0;0;1;False
2022-01-27;28;3;0;0;1;False
2022-01-28;30;3;0;0;1;False
2022-01-29;31;4;0;0;1;False
2022-01-30;37;3;0;0;1;False
2022-01-31;29;2;0;0;2;False
