date;cctv;peru;financial crisis;gordon brown;air travel;isPartial
2022-01-01;52;32;6;7;7;False
2022-01-02;64;34;3;6;13;False
2022-01-03;68;27;3;5;11;False
2022-01-04;57;29;5;6;11;False
2022-01-05;60;28;3;5;16;False
2022-01-06;53;28;4;3;13;False
2022-01-07;58;35;2;5;13;False
2022-01-08;45;42;2;4;15;False
2022-01-09;58;33;1;5;12;False
2022-01-10;62;31;3;2;21;False
2022-01-11;63;27;3;5;17;False
2022-01-12;56;28;5;7;14;False
2022-01-13;71;31;3;8;21;False
2022-01-14;51;30;2;8;18;False
2022-01-15;66;35;4;6;14;False
2022-01-16;69;42;7;5;15;False
2022-01-17;62;46;5;5;14;False
2022-01-18;60;33;2;8;13;False
2022-01-19;56;31;2;8;16;False
2022-01-20;65;40;5;4;11;False
2022-01-21;54;40;4;5;8;False
2022-01-22;55;37;3;5;11;False
2022-01-23;54;35;6;9;15;False
2022-01-24;71;37;5;8;21;False
2022-01-25;59;33;6;7;11;False
2022-01-26;53;31;5;6;14;False
2022-01-27;62;42;3;3;15;False
2022-01-28;63;100;1;5;11;False
2022-01-29;61;60;3;5;13;False
2022-01-30;64;32;3;3;15;False
2022-01-31;69;34;2;5;18;False
