date;Pittsburgh Steelers;Jean Sibelius;Finland;Psychedelia;air travel;isPartial
2022-01-01;8;0;82;0;15;False
2022-01-02;7;0;77;0;28;False
2022-01-03;8;2;68;0;23;False
2022-01-04;18;3;90;0;24;False
2022-01-05;4;0;99;0;34;False
2022-01-06;0;0;88;0;27;False
2022-01-07;0;2;69;0;28;False
2022-01-08;4;3;82;0;32;False
2022-01-09;18;3;94;0;25;False
2022-01-10;18;0;85;0;43;False
2022-01-11;3;0;83;0;35;False
2022-01-12;5;0;94;0;30;False
2022-01-13;5;0;100;0;45;False
2022-01-14;7;0;88;0;37;False
2022-01-15;0;0;79;0;30;False
2022-01-16;6;0;80;0;32;False
2022-01-17;10;0;73;0;29;False
2022-01-18;4;5;74;0;26;False
2022-01-19;0;0;65;0;33;False
2022-01-20;5;0;91;0;24;False
2022-01-21;2;0;62;0;17;False
2022-01-22;7;0;76;0;24;False
2022-01-23;6;0;94;0;31;False
2022-01-24;0;0;98;0;43;False
2022-01-25;4;0;77;3;22;False
2022-01-26;3;0;75;0;28;False
2022-01-27;2;0;71;0;32;False
2022-01-28;2;0;82;0;22;False
2022-01-29;3;6;66;0;27;False
2022-01-30;0;0;66;0;32;False
2022-01-31;0;0;76;0;37;False
