date;rupert murdoch;impact of the covid-19 pandemic on children;murder of bibaa henry and nicole smallman;burkina faso coup d'état 2022;air travel;isPartial
2022-01-01;40;0;0;0;39;False
2022-01-02;30;0;0;0;74;False
2022-01-03;28;0;0;0;57;False
2022-01-04;36;0;0;0;60;False
2022-01-05;25;0;0;0;85;False
2022-01-06;9;0;0;0;67;False
2022-01-07;47;0;0;0;65;False
2022-01-08;16;0;0;0;79;False
2022-01-09;14;0;0;0;49;False
2022-01-10;9;0;0;0;100;False
2022-01-11;9;0;0;0;71;False
2022-01-12;18;0;0;0;82;False
2022-01-13;13;0;0;0;94;False
2022-01-14;43;0;0;0;81;False
2022-01-15;27;0;0;0;79;False
2022-01-16;28;0;0;0;93;False
2022-01-17;9;0;0;0;58;False
2022-01-18;25;0;0;0;52;False
2022-01-19;13;0;0;0;79;False
2022-01-20;33;0;0;0;52;False
2022-01-21;15;0;0;0;51;False
2022-01-22;23;0;0;0;46;False
2022-01-23;21;0;0;0;80;False
2022-01-24;22;0;0;0;91;False
2022-01-25;31;0;0;0;55;False
2022-01-26;20;0;0;0;72;False
2022-01-27;12;0;0;0;66;False
2022-01-28;22;0;0;0;69;False
2022-01-29;16;0;0;0;55;False
2022-01-30;23;0;0;0;73;False
2022-01-31;20;0;0;0;87;False
