date;JK Rowling;JD Sports Fashion;Alan Sugar;Gina Rinehart;air travel;isPartial
2022-01-01;100;1;5;1;6;False
2022-01-02;85;0;6;2;12;False
2022-01-03;61;1;3;1;10;False
2022-01-04;57;0;4;1;10;False
2022-01-05;50;0;21;0;14;False
2022-01-06;32;4;57;0;11;False
2022-01-07;20;1;30;0;12;False
2022-01-08;24;1;17;0;13;False
2022-01-09;27;1;8;0;10;False
2022-01-10;11;0;9;0;18;False
2022-01-11;14;0;9;0;15;False
2022-01-12;13;1;6;0;12;False
2022-01-13;10;0;33;0;19;False
2022-01-14;11;0;17;0;16;False
2022-01-15;11;0;16;0;12;False
2022-01-16;15;0;12;0;13;False
2022-01-17;43;0;7;7;12;False
2022-01-18;16;0;10;3;11;False
2022-01-19;4;1;5;0;14;False
2022-01-20;9;1;30;1;10;False
2022-01-21;9;0;15;0;7;False
2022-01-22;11;0;6;0;10;False
2022-01-23;12;0;6;2;13;False
2022-01-24;13;1;9;0;18;False
2022-01-25;10;1;4;0;9;False
2022-01-26;8;0;6;0;12;False
2022-01-27;6;0;29;0;13;False
2022-01-28;11;0;17;0;9;False
2022-01-29;9;0;11;0;11;False
2022-01-30;8;0;12;0;13;False
2022-01-31;5;1;8;0;15;False
