date;Space;Interest rates;Bank of England;Monetary policy committee;air travel;isPartial
2022-01-01;81;4;2;0;1;False
2022-01-02;87;5;3;1;3;False
2022-01-03;86;6;3;0;2;False
2022-01-04;91;7;5;0;2;False
2022-01-05;97;8;4;0;3;False
2022-01-06;90;9;5;0;3;False
2022-01-07;89;8;4;0;3;False
2022-01-08;94;6;2;0;3;False
2022-01-09;96;6;2;0;2;False
2022-01-10;96;8;5;0;4;False
2022-01-11;95;9;5;0;3;False
2022-01-12;86;8;5;0;3;False
2022-01-13;95;9;6;1;4;False
2022-01-14;83;7;4;0;4;False
2022-01-15;90;7;2;0;3;False
2022-01-16;95;5;2;0;3;False
2022-01-17;89;10;5;0;3;False
2022-01-18;86;8;4;0;3;False
2022-01-19;78;12;4;0;3;False
2022-01-20;82;8;4;0;2;False
2022-01-21;83;8;4;0;2;False
2022-01-22;78;6;2;0;2;False
2022-01-23;82;7;2;0;3;False
2022-01-24;100;10;5;0;4;False
2022-01-25;88;9;4;0;2;False
2022-01-26;81;12;5;0;3;False
2022-01-27;85;10;5;0;3;False
2022-01-28;87;9;4;0;2;False
2022-01-29;92;6;2;0;3;False
2022-01-30;82;8;2;0;3;False
2022-01-31;87;19;4;0;4;False
