date;daniel radcliffe;gareth southgate;cryptocurrencies;indonesia;air travel;isPartial
2022-01-01;100;4;0;14;3;False
2022-01-02;73;1;1;12;6;False
2022-01-03;48;0;2;15;5;False
2022-01-04;26;2;1;11;5;False
2022-01-05;19;0;0;10;7;False
2022-01-06;13;0;2;16;6;False
2022-01-07;19;0;0;15;6;False
2022-01-08;19;10;1;15;7;False
2022-01-09;16;5;0;14;5;False
2022-01-10;8;1;1;15;9;False
2022-01-11;7;0;1;13;8;False
2022-01-12;6;1;1;13;6;False
2022-01-13;8;0;1;14;10;False
2022-01-14;7;0;2;14;8;False
2022-01-15;14;1;1;18;6;False
2022-01-16;10;1;1;12;7;False
2022-01-17;5;1;1;18;6;False
2022-01-18;5;2;1;16;6;False
2022-01-19;5;0;0;11;7;False
2022-01-20;5;1;2;13;5;False
2022-01-21;6;2;1;13;4;False
2022-01-22;8;3;1;11;5;False
2022-01-23;7;1;1;18;7;False
2022-01-24;4;1;1;18;9;False
2022-01-25;3;2;1;16;5;False
2022-01-26;2;2;1;18;6;False
2022-01-27;4;0;0;12;7;False
2022-01-28;3;0;0;12;5;False
2022-01-29;6;1;1;12;6;False
2022-01-30;6;1;0;11;7;False
2022-01-31;3;1;1;12;8;False
