date;Buffalo Bills;Federal Reserve;Green politics;Local politics;air travel;isPartial
2022-01-01;10;0;5;0;19;False
2022-01-02;24;0;7;0;35;False
2022-01-03;21;0;0;2;29;False
2022-01-04;10;0;3;0;30;False
2022-01-05;0;9;0;4;43;False
2022-01-06;0;6;0;0;34;False
2022-01-07;5;0;4;0;35;False
2022-01-08;5;6;0;4;40;False
2022-01-09;22;16;0;3;31;False
2022-01-10;22;14;0;0;54;False
2022-01-11;8;7;0;0;44;False
2022-01-12;7;8;3;3;38;False
2022-01-13;4;7;9;0;56;False
2022-01-14;6;6;5;6;47;False
2022-01-15;24;0;0;9;37;False
2022-01-16;100;5;0;0;40;False
2022-01-17;21;6;0;0;36;False
2022-01-18;10;4;0;0;33;False
2022-01-19;10;7;0;0;42;False
2022-01-20;9;4;5;0;30;False
2022-01-21;10;8;3;0;21;False
2022-01-22;6;0;0;0;30;False
2022-01-23;50;7;0;0;38;False
2022-01-24;97;20;5;0;54;False
2022-01-25;9;14;0;0;28;False
2022-01-26;5;74;0;3;36;False
2022-01-27;4;15;0;0;40;False
2022-01-28;5;9;0;0;28;False
2022-01-29;10;0;0;0;34;False
2022-01-30;4;0;0;0;40;False
2022-01-31;7;2;0;0;46;False
