date;Transparency;South America;GPs;Caribbean;air travel;isPartial
2022-01-01;1;20;41;74;5;False
2022-01-02;3;23;43;75;8;False
2022-01-03;1;15;46;73;7;False
2022-01-04;2;19;40;58;7;False
2022-01-05;4;16;38;66;10;False
2022-01-06;4;16;31;63;8;False
2022-01-07;6;14;35;71;8;False
2022-01-08;2;12;38;92;10;False
2022-01-09;3;16;47;91;7;False
2022-01-10;5;21;39;68;13;False
2022-01-11;6;15;35;66;11;False
2022-01-12;5;15;34;60;9;False
2022-01-13;4;14;34;68;13;False
2022-01-14;4;16;32;68;11;False
2022-01-15;5;13;38;90;9;False
2022-01-16;2;22;46;100;10;False
2022-01-17;6;19;40;65;9;False
2022-01-18;6;15;34;64;8;False
2022-01-19;5;14;34;56;10;False
2022-01-20;7;15;35;61;7;False
2022-01-21;3;11;31;61;5;False
2022-01-22;1;16;39;76;7;False
2022-01-23;2;18;32;99;9;False
2022-01-24;7;20;47;81;13;False
2022-01-25;6;16;33;61;7;False
2022-01-26;4;14;35;60;9;False
2022-01-27;5;20;36;62;10;False
2022-01-28;3;24;37;68;7;False
2022-01-29;3;18;32;88;8;False
2022-01-30;3;19;40;93;10;False
2022-01-31;6;17;32;65;11;False
