date;Baseball;Mubi;Ken Loach;Jean-Luc Godard;air travel;isPartial
2022-01-01;91;29;5;0;17;False
2022-01-02;96;33;0;0;31;False
2022-01-03;82;17;0;0;26;False
2022-01-04;71;16;7;0;27;False
2022-01-05;70;18;0;0;39;False
2022-01-06;53;13;0;3;31;False
2022-01-07;79;18;4;0;32;False
2022-01-08;76;25;4;0;36;False
2022-01-09;93;23;4;3;28;False
2022-01-10;69;28;6;0;48;False
2022-01-11;72;9;0;0;39;False
2022-01-12;71;15;3;0;34;False
2022-01-13;83;17;0;0;50;False
2022-01-14;80;9;0;0;42;False
2022-01-15;98;10;3;6;33;False
2022-01-16;79;8;0;3;36;False
2022-01-17;86;16;6;0;33;False
2022-01-18;82;13;0;0;30;False
2022-01-19;71;11;2;0;37;False
2022-01-20;56;9;3;0;27;False
2022-01-21;75;13;3;0;19;False
2022-01-22;73;18;2;0;27;False
2022-01-23;100;19;0;2;34;False
2022-01-24;92;12;2;0;49;False
2022-01-25;65;8;0;0;25;False
2022-01-26;83;8;0;0;32;False
2022-01-27;90;10;3;0;36;False
2022-01-28;81;9;8;0;25;False
2022-01-29;99;13;0;0;30;False
2022-01-30;99;11;0;0;36;False
2022-01-31;68;17;0;0;41;False
