date;Equal pay;BNP Paribas;Banking;Prince Andrew;air travel;isPartial
2022-01-01;0;0;34;17;1;False
2022-01-02;0;0;38;18;2;False
2022-01-03;0;0;47;25;1;False
2022-01-04;0;1;66;48;1;False
2022-01-05;0;1;57;54;2;False
2022-01-06;0;1;59;32;2;False
2022-01-07;0;0;60;27;2;False
2022-01-08;0;0;40;18;2;False
2022-01-09;0;0;39;15;1;False
2022-01-10;0;1;62;14;2;False
2022-01-11;1;1;54;14;2;False
2022-01-12;0;1;55;41;2;False
2022-01-13;0;1;59;100;2;False
2022-01-14;0;0;55;60;2;False
2022-01-15;0;0;40;37;2;False
2022-01-16;0;0;43;26;2;False
2022-01-17;0;1;56;17;1;False
2022-01-18;0;0;52;21;2;False
2022-01-19;1;1;50;16;2;False
2022-01-20;0;0;51;10;1;False
2022-01-21;0;0;56;11;1;False
2022-01-22;0;0;42;12;1;False
2022-01-23;0;0;37;10;2;False
2022-01-24;0;1;61;11;2;False
2022-01-25;0;1;53;7;1;False
2022-01-26;0;0;56;9;2;False
2022-01-27;0;1;57;13;1;False
2022-01-28;0;1;66;10;1;False
2022-01-29;0;0;45;8;1;False
2022-01-30;0;0;44;8;2;False
2022-01-31;0;1;72;5;2;False
