date;Aston Martin;Ruby Princess;Stop and search;Michel Houellebecq;air travel;isPartial
2022-01-01;77;0;0;0;14;False
2022-01-02;90;0;3;0;27;False
2022-01-03;61;0;2;0;22;False
2022-01-04;71;0;6;0;23;False
2022-01-05;82;5;7;3;33;False
2022-01-06;73;0;9;0;26;False
2022-01-07;92;0;0;0;27;False
2022-01-08;93;5;2;0;31;False
2022-01-09;75;0;0;0;24;False
2022-01-10;80;3;8;0;41;False
2022-01-11;82;0;3;0;34;False
2022-01-12;65;0;9;0;29;False
2022-01-13;82;3;0;0;43;False
2022-01-14;100;0;0;0;36;False
2022-01-15;80;4;8;0;28;False
2022-01-16;72;0;0;0;31;False
2022-01-17;77;0;6;2;28;False
2022-01-18;59;0;4;5;25;False
2022-01-19;67;4;7;6;32;False
2022-01-20;66;0;7;0;23;False
2022-01-21;77;0;2;0;16;False
2022-01-22;79;0;0;2;23;False
2022-01-23;68;0;0;3;29;False
2022-01-24;98;6;5;0;42;False
2022-01-25;71;0;9;0;21;False
2022-01-26;74;0;3;0;27;False
2022-01-27;72;2;3;0;31;False
2022-01-28;76;2;3;6;21;False
2022-01-29;79;6;3;3;26;False
2022-01-30;64;0;5;0;31;False
2022-01-31;60;2;0;0;35;False
