date;sussex;love island;wisconsin;kentucky;air travel;isPartial
2022-01-01;64;42;3;10;3;False
2022-01-02;71;38;3;9;6;False
2022-01-03;76;36;5;7;5;False
2022-01-04;85;31;3;7;5;False
2022-01-05;87;27;2;8;7;False
2022-01-06;78;26;3;6;6;False
2022-01-07;77;37;3;6;6;False
2022-01-08;73;60;3;5;7;False
2022-01-09;81;40;3;4;5;False
2022-01-10;95;31;3;7;9;False
2022-01-11;81;31;3;6;7;False
2022-01-12;77;30;3;5;6;False
2022-01-13;88;34;3;5;9;False
2022-01-14;75;32;3;8;8;False
2022-01-15;88;36;3;5;6;False
2022-01-16;87;35;3;5;7;False
2022-01-17;86;25;3;7;6;False
2022-01-18;81;24;2;5;5;False
2022-01-19;77;29;3;4;7;False
2022-01-20;80;25;3;5;5;False
2022-01-21;79;25;1;5;4;False
2022-01-22;70;45;4;7;5;False
2022-01-23;78;44;7;6;6;False
2022-01-24;100;28;5;7;9;False
2022-01-25;82;21;4;6;5;False
2022-01-26;76;27;3;6;6;False
2022-01-27;79;28;3;5;7;False
2022-01-28;80;26;4;6;5;False
2022-01-29;73;42;2;6;6;False
2022-01-30;68;31;4;6;7;False
2022-01-31;84;20;2;8;8;False
