date;Virat Kohli;India cricket team;Isabel Allende;Organ donation;air travel;isPartial
2022-01-01;8;11;4;6;19;False
2022-01-02;6;0;0;10;35;False
2022-01-03;17;0;0;0;28;False
2022-01-04;12;3;0;0;30;False
2022-01-05;4;5;0;7;43;False
2022-01-06;8;5;0;5;34;False
2022-01-07;6;0;2;5;35;False
2022-01-08;5;0;0;4;39;False
2022-01-09;5;0;7;4;30;False
2022-01-10;6;0;5;3;53;False
2022-01-11;15;0;7;15;43;False
2022-01-12;7;3;2;6;37;False
2022-01-13;9;12;3;0;55;False
2022-01-14;19;11;0;0;46;False
2022-01-15;100;0;0;0;37;False
2022-01-16;45;13;6;0;40;False
2022-01-17;24;0;3;8;36;False
2022-01-18;8;0;0;10;33;False
2022-01-19;17;10;7;0;41;False
2022-01-20;6;0;0;6;30;False
2022-01-21;11;8;3;6;21;False
2022-01-22;11;7;11;0;29;False
2022-01-23;34;6;0;4;38;False
2022-01-24;38;0;0;4;54;False
2022-01-25;10;0;6;7;27;False
2022-01-26;10;0;0;5;35;False
2022-01-27;7;4;2;4;40;False
2022-01-28;0;0;0;5;27;False
2022-01-29;14;0;0;0;33;False
2022-01-30;0;0;0;8;39;False
2022-01-31;3;3;0;9;46;False
