date;WhatsApp;Crime - Australia;Youth justice;Industrial relations;air travel;isPartial
2022-01-01;84;39;0;1;2;False
2022-01-02;72;40;0;1;3;False
2022-01-03;80;41;0;0;3;False
2022-01-04;94;48;1;1;3;False
2022-01-05;89;45;1;0;4;False
2022-01-06;89;44;1;0;3;False
2022-01-07;88;43;0;0;3;False
2022-01-08;74;39;1;0;4;False
2022-01-09;78;46;0;1;3;False
2022-01-10;96;51;1;0;5;False
2022-01-11;89;47;0;0;4;False
2022-01-12;89;47;1;0;3;False
2022-01-13;100;52;0;0;5;False
2022-01-14;84;43;0;0;4;False
2022-01-15;79;41;0;0;3;False
2022-01-16;86;49;0;0;4;False
2022-01-17;95;47;1;0;3;False
2022-01-18;84;45;0;0;3;False
2022-01-19;84;42;0;0;4;False
2022-01-20;80;42;1;0;3;False
2022-01-21;81;41;1;0;2;False
2022-01-22;75;39;0;0;3;False
2022-01-23;79;42;0;0;3;False
2022-01-24;97;55;1;0;5;False
2022-01-25;81;47;1;0;2;False
2022-01-26;89;43;0;0;3;False
2022-01-27;85;40;1;0;4;False
2022-01-28;89;41;1;0;2;False
2022-01-29;78;36;0;0;3;False
2022-01-30;80;37;0;0;4;False
2022-01-31;93;44;0;0;4;False
