date;Michael Flynn;Rhode Island;Paolo Sorrentino;Diego Maradona;air travel;isPartial
2022-01-01;0;11;0;11;34;False
2022-01-02;0;22;8;0;63;False
2022-01-03;12;26;11;7;51;False
2022-01-04;0;6;0;0;54;False
2022-01-05;0;29;0;9;77;False
2022-01-06;5;20;0;6;61;False
2022-01-07;0;9;0;0;63;False
2022-01-08;0;16;5;9;71;False
2022-01-09;5;0;6;0;55;False
2022-01-10;9;19;10;6;97;False
2022-01-11;0;6;0;19;79;False
2022-01-12;0;22;5;0;67;False
2022-01-13;6;13;0;0;100;False
2022-01-14;5;16;0;4;84;False
2022-01-15;0;32;0;12;66;False
2022-01-16;7;17;0;6;72;False
2022-01-17;0;8;0;13;65;False
2022-01-18;6;11;0;0;59;False
2022-01-19;5;17;6;0;74;False
2022-01-20;10;15;0;4;54;False
2022-01-21;0;11;0;0;38;False
2022-01-22;6;19;5;7;53;False
2022-01-23;4;29;0;0;69;False
2022-01-24;0;18;0;21;97;False
2022-01-25;0;11;11;7;49;False
2022-01-26;0;26;8;5;64;False
2022-01-27;0;19;0;0;71;False
2022-01-28;0;28;0;0;49;False
2022-01-29;10;28;5;13;60;False
2022-01-30;6;28;0;0;71;False
2022-01-31;4;15;0;6;82;False
