date;Edinburgh;Mali;Polar regions;Ice;air travel;isPartial
2022-01-01;44;0;0;43;0;False
2022-01-02;57;1;0;43;1;False
2022-01-03;48;0;0;32;1;False
2022-01-04;49;0;0;28;1;False
2022-01-05;47;1;0;25;1;False
2022-01-06;46;0;0;26;1;False
2022-01-07;47;1;0;26;1;False
2022-01-08;55;0;0;45;1;False
2022-01-09;48;1;0;35;1;False
2022-01-10;58;1;0;26;1;False
2022-01-11;51;1;0;25;1;False
2022-01-12;53;5;0;27;1;False
2022-01-13;52;2;0;30;1;False
2022-01-14;49;1;0;30;1;False
2022-01-15;59;1;0;41;1;False
2022-01-16;51;2;0;100;1;False
2022-01-17;52;2;0;35;1;False
2022-01-18;48;1;0;27;1;False
2022-01-19;55;1;0;23;1;False
2022-01-20;48;2;0;24;1;False
2022-01-21;54;1;0;26;0;False
2022-01-22;54;1;0;33;1;False
2022-01-23;57;1;0;70;1;False
2022-01-24;63;1;0;37;1;False
2022-01-25;52;1;0;22;1;False
2022-01-26;53;4;0;23;1;False
2022-01-27;50;1;0;23;1;False
2022-01-28;58;1;0;25;1;False
2022-01-29;67;1;0;32;1;False
2022-01-30;54;1;0;68;1;False
2022-01-31;58;1;0;27;1;False
