date;World of Warcraft;Assassin's Creed;Tetris;The Legend of Zelda;air travel;isPartial
2022-01-01;21;35;69;39;33;False
2022-01-02;29;52;49;13;61;False
2022-01-03;47;58;62;5;50;False
2022-01-04;16;42;94;19;53;False
2022-01-05;46;36;54;7;75;False
2022-01-06;18;34;72;0;60;False
2022-01-07;34;35;83;13;62;False
2022-01-08;18;42;52;8;70;False
2022-01-09;34;69;63;20;54;False
2022-01-10;32;39;100;10;95;False
2022-01-11;28;49;94;8;77;False
2022-01-12;32;38;59;15;66;False
2022-01-13;10;55;96;0;98;False
2022-01-14;24;40;65;9;82;False
2022-01-15;26;53;55;26;65;False
2022-01-16;22;35;62;14;71;False
2022-01-17;25;61;64;19;64;False
2022-01-18;82;37;68;18;58;False
2022-01-19;45;23;70;0;73;False
2022-01-20;30;33;65;13;53;False
2022-01-21;36;34;59;17;37;False
2022-01-22;11;42;77;7;52;False
2022-01-23;46;55;54;18;67;False
2022-01-24;33;51;79;7;95;False
2022-01-25;34;35;63;11;48;False
2022-01-26;22;34;91;12;63;False
2022-01-27;29;38;48;8;70;False
2022-01-28;14;28;73;13;49;False
2022-01-29;36;35;56;8;59;False
2022-01-30;29;50;44;13;70;False
2022-01-31;33;25;81;4;81;False
