date;Shooting games;The Last of Us;24;Radio industry;air travel;isPartial
2022-01-01;0;3;72;0;2;False
2022-01-02;1;4;75;0;3;False
2022-01-03;0;2;86;0;2;False
2022-01-04;1;1;96;1;3;False
2022-01-05;1;4;89;0;4;False
2022-01-06;0;3;80;0;3;False
2022-01-07;0;3;80;0;3;False
2022-01-08;1;4;80;0;3;False
2022-01-09;1;4;80;0;3;False
2022-01-10;1;3;77;0;5;False
2022-01-11;0;2;75;0;4;False
2022-01-12;1;3;69;0;3;False
2022-01-13;2;3;79;1;5;False
2022-01-14;1;3;72;0;4;False
2022-01-15;1;3;78;0;3;False
2022-01-16;0;4;85;0;3;False
2022-01-17;0;3;75;0;3;False
2022-01-18;1;2;72;0;3;False
2022-01-19;1;3;65;0;4;False
2022-01-20;1;2;69;0;3;False
2022-01-21;0;3;72;0;2;False
2022-01-22;1;3;72;0;3;False
2022-01-23;1;3;79;0;3;False
2022-01-24;1;3;100;0;5;False
2022-01-25;0;3;69;0;2;False
2022-01-26;0;2;73;0;3;False
2022-01-27;0;2;65;0;3;False
2022-01-28;0;3;69;0;2;False
2022-01-29;0;3;76;0;3;False
2022-01-30;1;4;76;0;3;False
2022-01-31;2;3;73;0;4;False
