date;Melvyn Bragg;Andorra;Black British culture;PDC World Championships;air travel;isPartial
2022-01-01;7;49;9;9;29;False
2022-01-02;7;68;0;17;53;False
2022-01-03;10;60;0;10;44;False
2022-01-04;5;64;0;0;46;False
2022-01-05;0;68;0;0;65;False
2022-01-06;0;57;0;0;52;False
2022-01-07;5;59;9;0;54;False
2022-01-08;4;78;0;0;60;False
2022-01-09;0;100;0;0;47;False
2022-01-10;0;92;0;0;82;False
2022-01-11;4;81;0;0;67;False
2022-01-12;5;70;0;0;57;False
2022-01-13;10;56;0;0;85;False
2022-01-14;17;65;4;4;71;False
2022-01-15;0;60;0;5;56;False
2022-01-16;8;79;0;0;61;False
2022-01-17;0;59;7;0;55;False
2022-01-18;0;53;0;6;50;False
2022-01-19;0;45;0;0;63;False
2022-01-20;0;66;0;0;46;False
2022-01-21;0;48;0;0;32;False
2022-01-22;0;61;0;0;45;False
2022-01-23;0;90;0;0;58;False
2022-01-24;7;81;0;4;82;False
2022-01-25;0;56;0;0;42;False
2022-01-26;4;67;8;0;54;False
2022-01-27;9;63;7;4;61;False
2022-01-28;0;55;6;0;42;False
2022-01-29;0;48;5;0;51;False
2022-01-30;0;64;0;0;61;False
2022-01-31;4;67;4;0;70;False
