date;Daniel Radcliffe;Weird Al Yankovic;Goldman Sachs;Champions League;air travel;isPartial
2022-01-01;100;1;2;32;3;False
2022-01-02;73;1;3;36;6;False
2022-01-03;48;1;4;37;5;False
2022-01-04;26;0;7;29;5;False
2022-01-05;19;0;5;31;7;False
2022-01-06;13;0;5;30;6;False
2022-01-07;19;0;5;30;6;False
2022-01-08;19;0;4;35;7;False
2022-01-09;16;1;5;41;5;False
2022-01-10;8;0;6;33;9;False
2022-01-11;7;0;7;27;8;False
2022-01-12;6;0;7;31;6;False
2022-01-13;8;0;6;31;10;False
2022-01-14;7;1;6;23;8;False
2022-01-15;14;1;4;50;6;False
2022-01-16;10;0;3;37;7;False
2022-01-17;5;1;8;32;6;False
2022-01-18;5;2;15;27;6;False
2022-01-19;5;1;11;25;7;False
2022-01-20;5;0;8;32;5;False
2022-01-21;6;0;6;27;4;False
2022-01-22;8;1;4;35;5;False
2022-01-23;7;0;5;39;7;False
2022-01-24;4;0;9;40;9;False
2022-01-25;3;1;9;30;5;False
2022-01-26;2;0;9;30;6;False
2022-01-27;4;0;7;27;7;False
2022-01-28;3;1;8;25;5;False
2022-01-29;6;0;4;34;6;False
2022-01-30;6;0;5;28;7;False
2022-01-31;3;1;6;29;8;False
