date;Ocado;BBC licence fee;Nadine Dorries;Tim Davie;air travel;isPartial
2022-01-01;63;0;0;0;6;False
2022-01-02;83;0;3;0;11;False
2022-01-03;83;1;1;2;9;False
2022-01-04;85;2;2;0;10;False
2022-01-05;91;1;2;0;14;False
2022-01-06;90;1;0;0;11;False
2022-01-07;86;1;0;0;11;False
2022-01-08;80;0;2;0;13;False
2022-01-09;69;1;2;0;10;False
2022-01-10;92;0;1;0;17;False
2022-01-11;86;1;2;0;14;False
2022-01-12;91;1;7;0;12;False
2022-01-13;91;0;14;0;18;False
2022-01-14;80;0;6;0;15;False
2022-01-15;79;0;2;0;12;False
2022-01-16;88;48;93;2;13;False
2022-01-17;95;43;94;0;12;False
2022-01-18;83;12;27;4;10;False
2022-01-19;81;6;11;0;13;False
2022-01-20;83;2;8;3;10;False
2022-01-21;77;5;5;1;7;False
2022-01-22;89;2;3;0;9;False
2022-01-23;78;3;2;0;12;False
2022-01-24;100;4;10;0;17;False
2022-01-25;80;1;17;1;9;False
2022-01-26;88;1;8;2;11;False
2022-01-27;95;1;7;0;13;False
2022-01-28;85;1;7;3;9;False
2022-01-29;71;0;7;0;11;False
2022-01-30;78;0;3;0;13;False
2022-01-31;91;1;51;0;15;False
