date;James Joyce;Friendship;Learning disability;European Commission;air travel;isPartial
2022-01-01;3;96;3;3;15;False
2022-01-02;7;98;10;0;28;False
2022-01-03;5;65;16;3;23;False
2022-01-04;3;74;19;0;24;False
2022-01-05;0;68;19;8;34;False
2022-01-06;2;70;21;6;27;False
2022-01-07;5;66;22;3;28;False
2022-01-08;0;94;7;0;32;False
2022-01-09;0;94;15;3;24;False
2022-01-10;4;71;23;7;43;False
2022-01-11;0;88;26;9;35;False
2022-01-12;2;83;22;10;30;False
2022-01-13;10;70;20;0;44;False
2022-01-14;4;64;16;9;37;False
2022-01-15;8;87;22;6;29;False
2022-01-16;7;86;6;8;32;False
2022-01-17;4;80;21;5;29;False
2022-01-18;7;71;18;7;26;False
2022-01-19;2;60;19;7;33;False
2022-01-20;3;82;21;10;24;False
2022-01-21;0;81;15;4;17;False
2022-01-22;0;78;12;0;24;False
2022-01-23;3;93;15;0;30;False
2022-01-24;3;86;30;3;43;False
2022-01-25;8;78;26;6;22;False
2022-01-26;6;66;14;5;28;False
2022-01-27;0;71;16;7;32;False
2022-01-28;0;80;18;9;22;False
2022-01-29;15;100;3;0;27;False
2022-01-30;9;91;11;0;32;False
2022-01-31;7;87;24;4;37;False
