date;George Osborne;Hong Kong;Arms trade;Emmanuel Macron;air travel;isPartial
2022-01-01;2;72;0;4;6;False
2022-01-02;0;72;0;0;12;False
2022-01-03;0;70;2;1;10;False
2022-01-04;0;65;0;2;10;False
2022-01-05;2;86;0;9;14;False
2022-01-06;0;67;0;5;11;False
2022-01-07;1;67;0;1;12;False
2022-01-08;3;77;0;0;13;False
2022-01-09;0;78;0;3;10;False
2022-01-10;0;70;0;1;18;False
2022-01-11;0;74;0;1;15;False
2022-01-12;5;71;0;1;13;False
2022-01-13;1;66;1;3;19;False
2022-01-14;1;65;0;0;16;False
2022-01-15;1;74;1;1;12;False
2022-01-16;1;63;0;0;13;False
2022-01-17;4;59;0;1;12;False
2022-01-18;0;77;0;2;11;False
2022-01-19;1;60;0;2;14;False
2022-01-20;1;66;0;2;10;False
2022-01-21;0;76;0;1;7;False
2022-01-22;1;78;0;1;10;False
2022-01-23;0;70;0;3;13;False
2022-01-24;1;75;0;0;18;False
2022-01-25;3;65;0;2;9;False
2022-01-26;1;66;2;2;12;False
2022-01-27;3;63;0;0;13;False
2022-01-28;2;73;0;3;9;False
2022-01-29;1;100;0;0;11;False
2022-01-30;1;55;0;1;13;False
2022-01-31;3;69;0;1;15;False
