date;Sky News;Sky;TV news;William Shakespeare;air travel;isPartial
2022-01-01;26;77;3;0;0;False
2022-01-02;22;74;3;0;0;False
2022-01-03;22;69;2;0;0;False
2022-01-04;31;69;2;0;0;False
2022-01-05;26;73;2;0;0;False
2022-01-06;22;58;2;0;0;False
2022-01-07;23;68;2;0;0;False
2022-01-08;20;68;2;0;0;False
2022-01-09;19;65;2;0;0;False
2022-01-10;25;72;2;0;1;False
2022-01-11;24;61;2;0;0;False
2022-01-12;27;68;2;0;0;False
2022-01-13;26;72;2;0;1;False
2022-01-14;22;64;2;0;1;False
2022-01-15;22;81;2;0;0;False
2022-01-16;22;76;2;0;0;False
2022-01-17;23;62;2;0;0;False
2022-01-18;23;70;2;0;0;False
2022-01-19;26;61;2;0;0;False
2022-01-20;22;63;2;0;0;False
2022-01-21;21;66;1;0;0;False
2022-01-22;17;73;2;0;0;False
2022-01-23;16;67;2;0;0;False
2022-01-24;25;70;1;0;1;False
2022-01-25;23;67;1;0;0;False
2022-01-26;28;69;1;0;0;False
2022-01-27;19;61;1;0;0;False
2022-01-28;24;69;2;0;0;False
2022-01-29;20;73;2;0;0;False
2022-01-30;22;72;2;0;0;False
2022-01-31;39;100;2;0;1;False
