date;jacob rees-mogg;personal finance;rishi sunak;cost of living;air travel;isPartial
2022-01-01;0;3;12;11;9;False
2022-01-02;0;8;8;9;18;False
2022-01-03;0;4;10;14;15;False
2022-01-04;0;7;10;14;13;False
2022-01-05;0;13;7;18;22;False
2022-01-06;3;9;12;16;18;False
2022-01-07;2;7;9;10;17;False
2022-01-08;0;7;12;16;17;False
2022-01-09;4;5;15;17;10;False
2022-01-10;1;8;9;13;27;False
2022-01-11;0;11;21;17;18;False
2022-01-12;0;11;87;20;19;False
2022-01-13;5;6;100;17;22;False
2022-01-14;8;10;50;13;21;False
2022-01-15;0;8;43;9;21;False
2022-01-16;0;5;30;19;23;False
2022-01-17;0;10;21;9;13;False
2022-01-18;2;11;63;16;18;False
2022-01-19;0;5;61;26;20;False
2022-01-20;2;7;27;29;13;False
2022-01-21;0;12;22;26;10;False
2022-01-22;0;4;24;20;15;False
2022-01-23;0;4;29;19;18;False
2022-01-24;0;9;33;31;23;False
2022-01-25;4;8;22;15;14;False
2022-01-26;5;5;23;17;18;False
2022-01-27;2;6;14;23;15;False
2022-01-28;1;8;16;19;13;False
2022-01-29;6;5;22;14;16;False
2022-01-30;0;6;39;14;20;False
2022-01-31;0;7;37;18;24;False
