date;Motor sport;AT&T;Verizon Communications;THG;air travel;isPartial
2022-01-01;0;4;9;13;21;False
2022-01-02;11;5;0;18;39;False
2022-01-03;0;0;0;16;32;False
2022-01-04;0;6;0;64;33;False
2022-01-05;6;23;0;54;48;False
2022-01-06;8;11;8;48;38;False
2022-01-07;5;17;0;39;39;False
2022-01-08;8;0;0;6;44;False
2022-01-09;7;8;0;15;34;False
2022-01-10;3;14;0;59;60;False
2022-01-11;5;15;0;54;49;False
2022-01-12;0;9;0;34;42;False
2022-01-13;8;12;0;43;62;False
2022-01-14;9;9;6;26;52;False
2022-01-15;18;10;0;20;41;False
2022-01-16;7;15;0;13;45;False
2022-01-17;7;11;5;55;40;False
2022-01-18;11;15;0;82;37;False
2022-01-19;6;11;0;37;46;False
2022-01-20;4;9;0;43;34;False
2022-01-21;6;9;0;46;24;False
2022-01-22;10;0;0;10;33;False
2022-01-23;7;0;0;13;43;False
2022-01-24;8;8;0;100;60;False
2022-01-25;12;6;0;52;31;False
2022-01-26;9;18;0;49;40;False
2022-01-27;5;17;0;48;44;False
2022-01-28;2;11;4;32;31;False
2022-01-29;7;0;8;17;37;False
2022-01-30;0;14;0;26;44;False
2022-01-31;3;17;0;53;51;False
