date;Alan Cumming;Robert Burns;National Theatre of Scotland;Women's health;air travel;isPartial
2022-01-01;4;4;0;2;3;False
2022-01-02;0;2;0;2;6;False
2022-01-03;0;2;1;2;5;False
2022-01-04;1;3;0;2;5;False
2022-01-05;0;3;0;4;7;False
2022-01-06;1;5;0;3;6;False
2022-01-07;0;4;0;2;6;False
2022-01-08;2;3;0;0;7;False
2022-01-09;0;3;0;1;5;False
2022-01-10;0;7;0;1;9;False
2022-01-11;1;9;0;2;8;False
2022-01-12;1;8;0;2;6;False
2022-01-13;1;8;0;1;10;False
2022-01-14;0;6;0;2;8;False
2022-01-15;0;4;0;1;6;False
2022-01-16;0;6;0;1;7;False
2022-01-17;1;11;0;2;6;False
2022-01-18;0;12;0;1;6;False
2022-01-19;0;9;0;2;7;False
2022-01-20;0;10;0;2;5;False
2022-01-21;0;11;0;3;4;False
2022-01-22;0;11;0;1;5;False
2022-01-23;0;12;0;1;7;False
2022-01-24;0;37;0;3;9;False
2022-01-25;0;100;0;3;5;False
2022-01-26;3;22;0;2;6;False
2022-01-27;1;10;1;1;7;False
2022-01-28;1;9;0;2;5;False
2022-01-29;1;7;0;1;6;False
2022-01-30;0;3;0;1;7;False
2022-01-31;0;2;0;3;8;False
