date;USA Olympic team;Drugs trade;Help-to-buy scheme;Mike Ashley;air travel;isPartial
2022-01-01;0;0;5;5;32;False
2022-01-02;0;0;0;12;60;False
2022-01-03;0;11;0;9;49;False
2022-01-04;0;0;8;0;51;False
2022-01-05;0;0;0;10;73;False
2022-01-06;0;0;0;15;58;False
2022-01-07;6;9;0;100;60;False
2022-01-08;0;0;31;99;68;False
2022-01-09;0;12;13;55;53;False
2022-01-10;0;12;0;47;92;False
2022-01-11;0;4;0;33;75;False
2022-01-12;0;0;0;23;64;False
2022-01-13;0;0;19;11;96;False
2022-01-14;0;0;0;21;80;False
2022-01-15;18;0;0;20;63;False
2022-01-16;0;5;0;21;69;False
2022-01-17;0;0;0;17;62;False
2022-01-18;0;0;8;15;56;False
2022-01-19;0;0;0;16;71;False
2022-01-20;0;4;0;14;52;False
2022-01-21;0;0;4;14;36;False
2022-01-22;0;0;0;15;51;False
2022-01-23;3;0;0;17;66;False
2022-01-24;0;4;6;17;93;False
2022-01-25;4;0;0;12;47;False
2022-01-26;0;0;0;5;61;False
2022-01-27;0;0;0;11;68;False
2022-01-28;0;0;0;9;47;False
2022-01-29;6;0;0;15;57;False
2022-01-30;0;0;0;16;68;False
2022-01-31;0;0;0;15;79;False
