date;Archant;Private equity;Regional & local newspapers;Chichester Festival theatre;air travel;isPartial
2022-01-01;0;27;0;7;34;False
2022-01-02;0;12;0;12;62;False
2022-01-03;0;34;0;6;51;False
2022-01-04;5;59;0;14;53;False
2022-01-05;5;59;0;23;76;False
2022-01-06;4;71;0;0;61;False
2022-01-07;0;63;0;9;63;False
2022-01-08;0;40;0;26;70;False
2022-01-09;0;26;0;7;55;False
2022-01-10;5;88;0;10;96;False
2022-01-11;13;73;0;5;78;False
2022-01-12;0;81;0;14;67;False
2022-01-13;0;81;0;15;99;False
2022-01-14;0;68;0;10;83;False
2022-01-15;0;37;0;14;65;False
2022-01-16;12;19;0;0;71;False
2022-01-17;7;69;0;5;64;False
2022-01-18;5;77;0;7;58;False
2022-01-19;5;51;0;5;74;False
2022-01-20;19;66;0;12;53;False
2022-01-21;8;82;0;15;38;False
2022-01-22;0;37;0;9;53;False
2022-01-23;0;26;0;7;68;False
2022-01-24;7;100;0;0;96;False
2022-01-25;0;79;0;8;49;False
2022-01-26;7;69;0;9;63;False
2022-01-27;21;69;0;10;71;False
2022-01-28;7;81;0;18;49;False
2022-01-29;0;25;0;11;59;False
2022-01-30;0;31;0;0;71;False
2022-01-31;5;79;0;14;82;False
