date;Bangladesh Cricket Team;Tanya Plibersek;The Boss Baby;Washington Commanders;air travel;isPartial
2022-01-01;0;0;17;0;34;False
2022-01-02;0;0;22;0;63;False
2022-01-03;0;5;16;0;51;False
2022-01-04;21;6;31;0;54;False
2022-01-05;0;0;11;0;77;False
2022-01-06;0;0;0;0;61;False
2022-01-07;0;0;0;0;63;False
2022-01-08;6;0;23;0;71;False
2022-01-09;6;0;7;0;55;False
2022-01-10;0;0;7;14;97;False
2022-01-11;0;6;0;0;79;False
2022-01-12;0;0;14;0;67;False
2022-01-13;0;0;10;14;100;False
2022-01-14;0;0;11;0;84;False
2022-01-15;0;7;22;14;66;False
2022-01-16;0;13;11;14;72;False
2022-01-17;0;5;16;0;65;False
2022-01-18;0;20;11;10;59;False
2022-01-19;0;0;11;0;74;False
2022-01-20;0;0;0;5;54;False
2022-01-21;17;0;9;0;38;False
2022-01-22;0;5;9;0;53;False
2022-01-23;0;4;0;0;69;False
2022-01-24;5;0;0;0;97;False
2022-01-25;5;0;0;0;49;False
2022-01-26;0;6;9;0;64;False
2022-01-27;4;0;5;6;71;False
2022-01-28;0;0;0;5;49;False
2022-01-29;0;0;4;0;60;False
2022-01-30;6;0;12;0;71;False
2022-01-31;0;5;0;0;82;False
