date;david carrick;defence;middlesbrough;police;air travel;isPartial
2022-01-01;0;9;22;70;1;False
2022-01-02;0;10;21;74;2;False
2022-01-03;0;10;21;84;2;False
2022-01-04;0;14;21;99;2;False
2022-01-05;0;15;22;96;3;False
2022-01-06;0;14;21;84;2;False
2022-01-07;0;12;24;80;2;False
2022-01-08;0;9;37;79;3;False
2022-01-09;0;11;22;82;2;False
2022-01-10;4;24;28;89;3;False
2022-01-11;0;16;26;85;3;False
2022-01-12;1;16;25;81;2;False
2022-01-13;0;18;28;94;4;False
2022-01-14;0;12;24;82;3;False
2022-01-15;0;9;38;83;2;False
2022-01-16;0;12;28;90;3;False
2022-01-17;0;16;26;91;2;False
2022-01-18;0;16;23;84;2;False
2022-01-19;0;16;20;76;3;False
2022-01-20;0;16;22;79;2;False
2022-01-21;0;15;25;78;1;False
2022-01-22;0;11;28;76;2;False
2022-01-23;0;11;20;76;2;False
2022-01-24;0;18;45;100;3;False
2022-01-25;0;17;25;93;2;False
2022-01-26;0;16;21;83;2;False
2022-01-27;0;16;21;77;3;False
2022-01-28;1;13;26;89;2;False
2022-01-29;0;10;37;79;2;False
2022-01-30;0;10;23;79;3;False
2022-01-31;0;17;28;88;3;False
