date;cop27;hbo;sag awards;somerset;air travel;isPartial
2022-01-01;0;43;0;80;4;False
2022-01-02;0;26;0;82;7;False
2022-01-03;0;19;0;83;6;False
2022-01-04;0;17;0;100;6;False
2022-01-05;0;14;1;91;9;False
2022-01-06;0;13;0;85;7;False
2022-01-07;0;15;0;81;7;False
2022-01-08;0;18;0;69;8;False
2022-01-09;0;26;0;77;6;False
2022-01-10;0;25;0;87;11;False
2022-01-11;1;18;1;85;9;False
2022-01-12;0;15;5;77;8;False
2022-01-13;0;19;3;88;11;False
2022-01-14;0;15;1;75;10;False
2022-01-15;1;25;1;82;8;False
2022-01-16;1;25;0;86;8;False
2022-01-17;0;20;0;97;7;False
2022-01-18;1;17;0;86;7;False
2022-01-19;2;15;0;81;9;False
2022-01-20;1;14;0;81;6;False
2022-01-21;0;16;0;75;4;False
2022-01-22;0;14;0;78;6;False
2022-01-23;0;20;1;82;8;False
2022-01-24;0;16;0;94;11;False
2022-01-25;0;15;1;80;6;False
2022-01-26;1;17;2;78;7;False
2022-01-27;1;15;0;76;8;False
2022-01-28;1;18;0;78;6;False
2022-01-29;1;26;0;75;7;False
2022-01-30;1;22;0;70;8;False
2022-01-31;0;24;0;84;9;False
