date;John Healey;Typhoon Haiyan;ExxonMobil;Aramco;air travel;isPartial
2022-01-01;0;0;0;11;34;False
2022-01-02;0;9;8;0;63;False
2022-01-03;0;0;11;5;51;False
2022-01-04;0;7;0;11;54;False
2022-01-05;0;0;7;7;77;False
2022-01-06;0;4;0;11;61;False
2022-01-07;4;8;4;13;63;False
2022-01-08;5;0;6;8;71;False
2022-01-09;0;8;7;0;55;False
2022-01-10;0;10;13;8;97;False
2022-01-11;0;7;14;0;79;False
2022-01-12;0;0;11;20;67;False
2022-01-13;0;16;13;8;100;False
2022-01-14;0;17;12;13;84;False
2022-01-15;0;13;0;6;66;False
2022-01-16;0;0;25;0;72;False
2022-01-17;5;23;12;12;65;False
2022-01-18;0;9;10;17;59;False
2022-01-19;0;14;6;12;74;False
2022-01-20;6;0;23;5;54;False
2022-01-21;7;0;21;7;38;False
2022-01-22;0;0;5;9;53;False
2022-01-23;6;4;5;7;69;False
2022-01-24;0;5;25;0;97;False
2022-01-25;0;5;13;24;49;False
2022-01-26;0;0;9;6;64;False
2022-01-27;0;0;14;13;71;False
2022-01-28;0;0;0;20;49;False
2022-01-29;0;0;0;0;60;False
2022-01-30;0;11;0;7;71;False
2022-01-31;0;0;12;18;82;False
