date;roads;bette midler;star trek;chris brown;air travel;isPartial
2022-01-01;47;6;87;28;11;False
2022-01-02;52;5;79;20;20;False
2022-01-03;39;0;70;9;16;False
2022-01-04;45;11;95;18;17;False
2022-01-05;46;2;62;20;24;False
2022-01-06;48;0;73;20;19;False
2022-01-07;72;6;85;23;20;False
2022-01-08;43;5;86;24;22;False
2022-01-09;55;3;80;22;17;False
2022-01-10;56;2;75;15;30;False
2022-01-11;54;4;69;16;25;False
2022-01-12;57;0;62;15;21;False
2022-01-13;70;5;70;15;31;False
2022-01-14;46;4;77;23;26;False
2022-01-15;49;4;69;22;21;False
2022-01-16;64;5;79;14;23;False
2022-01-17;66;5;63;15;20;False
2022-01-18;61;2;70;18;18;False
2022-01-19;44;5;71;16;23;False
2022-01-20;53;4;67;13;17;False
2022-01-21;52;5;81;20;12;False
2022-01-22;72;3;81;18;17;False
2022-01-23;55;5;79;15;22;False
2022-01-24;64;5;100;20;30;False
2022-01-25;56;1;74;13;15;False
2022-01-26;55;3;68;17;20;False
2022-01-27;56;2;75;14;22;False
2022-01-28;60;4;74;82;16;False
2022-01-29;74;8;75;53;19;False
2022-01-30;60;6;95;41;22;False
2022-01-31;69;7;58;39;26;False
