date;Terry Pratchett;Neil Young;Joni Mitchell;Young people;air travel;isPartial
2022-01-01;6;6;3;7;5;False
2022-01-02;4;5;5;10;8;False
2022-01-03;2;4;3;10;7;False
2022-01-04;2;6;4;14;7;False
2022-01-05;4;4;2;13;10;False
2022-01-06;3;2;4;14;8;False
2022-01-07;1;2;3;13;9;False
2022-01-08;3;5;3;14;10;False
2022-01-09;1;5;2;11;7;False
2022-01-10;2;3;3;17;13;False
2022-01-11;3;4;1;16;11;False
2022-01-12;3;4;3;21;9;False
2022-01-13;3;5;4;18;13;False
2022-01-14;1;2;5;12;11;False
2022-01-15;3;6;9;12;9;False
2022-01-16;3;4;13;13;10;False
2022-01-17;2;4;10;20;9;False
2022-01-18;2;4;8;18;8;False
2022-01-19;3;3;7;15;10;False
2022-01-20;2;4;4;15;7;False
2022-01-21;3;4;5;10;5;False
2022-01-22;4;6;6;10;7;False
2022-01-23;3;4;9;13;9;False
2022-01-24;4;3;8;17;13;False
2022-01-25;3;26;5;17;7;False
2022-01-26;5;26;5;18;9;False
2022-01-27;4;100;3;16;10;False
2022-01-28;3;48;4;13;7;False
2022-01-29;3;70;80;9;8;False
2022-01-30;3;48;25;11;10;False
2022-01-31;1;38;19;18;11;False
