date;Headphones;Bluetooth;Gadgets;Property;air travel;isPartial
2022-01-01;13;13;1;51;1;False
2022-01-02;13;16;2;58;1;False
2022-01-03;13;14;1;63;1;False
2022-01-04;14;15;1;75;1;False
2022-01-05;12;13;1;73;1;False
2022-01-06;11;13;1;73;1;False
2022-01-07;12;13;2;76;1;False
2022-01-08;14;15;2;63;1;False
2022-01-09;13;14;2;66;1;False
2022-01-10;13;13;1;88;2;False
2022-01-11;13;13;1;81;1;False
2022-01-12;13;12;1;79;1;False
2022-01-13;12;13;1;87;2;False
2022-01-14;12;13;1;73;2;False
2022-01-15;15;15;2;68;1;False
2022-01-16;15;15;2;72;1;False
2022-01-17;11;12;1;85;1;False
2022-01-18;12;11;1;85;1;False
2022-01-19;11;11;1;79;1;False
2022-01-20;11;11;1;79;1;False
2022-01-21;10;12;1;80;1;False
2022-01-22;12;14;1;65;1;False
2022-01-23;13;14;1;62;1;False
2022-01-24;13;13;1;100;2;False
2022-01-25;11;12;1;83;1;False
2022-01-26;11;12;1;84;1;False
2022-01-27;10;11;1;79;1;False
2022-01-28;10;13;1;81;1;False
2022-01-29;12;15;1;67;1;False
2022-01-30;13;13;1;70;1;False
2022-01-31;11;11;1;87;2;False
