date;Romelu Lukaku;Bologna holidays;Italy holidays;Food and drink;air travel;isPartial
2022-01-01;19;0;13;9;8;False
2022-01-02;100;0;9;13;15;False
2022-01-03;26;0;16;12;12;False
2022-01-04;19;3;10;10;13;False
2022-01-05;15;0;15;14;18;False
2022-01-06;3;0;18;8;14;False
2022-01-07;3;0;15;9;15;False
2022-01-08;8;0;16;10;17;False
2022-01-09;2;3;25;17;13;False
2022-01-10;3;2;20;14;22;False
2022-01-11;0;1;16;20;18;False
2022-01-12;3;0;13;16;16;False
2022-01-13;3;2;21;14;23;False
2022-01-14;0;0;14;9;19;False
2022-01-15;6;0;21;14;15;False
2022-01-16;4;0;26;9;17;False
2022-01-17;0;0;19;10;15;False
2022-01-18;3;1;16;16;14;False
2022-01-19;2;2;12;13;17;False
2022-01-20;1;0;12;12;13;False
2022-01-21;0;0;14;8;9;False
2022-01-22;0;0;15;9;12;False
2022-01-23;6;0;22;11;16;False
2022-01-24;3;0;16;11;23;False
2022-01-25;1;0;18;14;11;False
2022-01-26;0;0;12;11;15;False
2022-01-27;1;0;14;13;17;False
2022-01-28;3;2;15;13;11;False
2022-01-29;0;0;19;6;14;False
2022-01-30;2;0;25;10;17;False
2022-01-31;0;0;15;10;19;False
