date;Nationwide;Yves Saint Laurent;Miley Cyrus;Hangover cures;air travel;isPartial
2022-01-01;44;2;24;1;2;False
2022-01-02;46;2;19;0;3;False
2022-01-03;62;2;9;0;3;False
2022-01-04;100;1;7;0;3;False
2022-01-05;78;1;6;0;4;False
2022-01-06;74;0;4;0;3;False
2022-01-07;79;1;7;0;3;False
2022-01-08;62;1;7;0;4;False
2022-01-09;47;2;6;0;3;False
2022-01-10;78;1;3;0;5;False
2022-01-11;75;1;4;0;4;False
2022-01-12;91;1;4;0;3;False
2022-01-13;81;1;3;0;5;False
2022-01-14;68;0;4;0;4;False
2022-01-15;62;1;5;0;3;False
2022-01-16;48;1;5;0;4;False
2022-01-17;77;1;4;0;3;False
2022-01-18;69;1;3;0;3;False
2022-01-19;64;2;3;0;4;False
2022-01-20;66;2;4;0;3;False
2022-01-21;73;1;4;0;2;False
2022-01-22;53;1;16;0;3;False
2022-01-23;48;1;7;0;3;False
2022-01-24;76;0;5;0;5;False
2022-01-25;67;1;4;0;2;False
2022-01-26;70;2;3;1;3;False
2022-01-27;71;1;4;0;4;False
2022-01-28;79;2;4;0;2;False
2022-01-29;61;1;5;0;3;False
2022-01-30;46;1;5;0;4;False
2022-01-31;90;3;4;0;4;False
