date;iowa;army;jk rowling;bristol;air travel;isPartial
2022-01-01;1;18;10;71;1;False
2022-01-02;1;21;9;76;1;False
2022-01-03;0;19;6;67;1;False
2022-01-04;1;19;6;75;1;False
2022-01-05;1;19;5;69;1;False
2022-01-06;0;18;3;75;1;False
2022-01-07;1;22;2;81;1;False
2022-01-08;1;20;2;87;1;False
2022-01-09;0;24;3;78;1;False
2022-01-10;0;18;1;84;2;False
2022-01-11;1;27;2;86;2;False
2022-01-12;1;28;1;73;1;False
2022-01-13;0;22;1;79;2;False
2022-01-14;0;20;1;72;2;False
2022-01-15;1;26;1;100;1;False
2022-01-16;0;23;2;78;1;False
2022-01-17;1;20;4;80;1;False
2022-01-18;0;20;2;78;1;False
2022-01-19;0;20;0;69;1;False
2022-01-20;1;20;1;76;1;False
2022-01-21;0;20;1;76;1;False
2022-01-22;0;23;1;99;1;False
2022-01-23;0;27;1;81;1;False
2022-01-24;1;27;1;97;2;False
2022-01-25;1;22;1;86;1;False
2022-01-26;1;21;1;77;1;False
2022-01-27;0;21;1;73;1;False
2022-01-28;1;22;1;85;1;False
2022-01-29;0;23;1;97;1;False
2022-01-30;1;22;1;69;1;False
2022-01-31;1;21;1;84;2;False
