date;Mortgages;Mercedes GP;Maryland;Online abuse;air travel;isPartial
2022-01-01;50;0;17;2;11;False
2022-01-02;45;0;23;0;20;False
2022-01-03;40;0;19;0;16;False
2022-01-04;92;0;20;2;17;False
2022-01-05;90;6;15;2;24;False
2022-01-06;84;0;14;0;19;False
2022-01-07;80;0;14;3;20;False
2022-01-08;66;1;13;0;22;False
2022-01-09;46;0;14;2;17;False
2022-01-10;98;0;21;0;30;False
2022-01-11;91;3;21;0;25;False
2022-01-12;94;2;16;2;21;False
2022-01-13;100;0;19;6;31;False
2022-01-14;76;0;21;6;26;False
2022-01-15;56;2;18;0;21;False
2022-01-16;55;0;21;0;23;False
2022-01-17;88;0;18;3;20;False
2022-01-18;90;0;14;4;18;False
2022-01-19;72;0;16;3;23;False
2022-01-20;78;0;20;0;17;False
2022-01-21;76;0;20;2;12;False
2022-01-22;46;1;14;3;17;False
2022-01-23;58;0;20;0;22;False
2022-01-24;93;0;20;5;30;False
2022-01-25;86;0;21;2;15;False
2022-01-26;80;0;22;0;20;False
2022-01-27;86;0;14;0;22;False
2022-01-28;94;3;14;0;15;False
2022-01-29;52;0;12;2;19;False
2022-01-30;41;2;16;0;22;False
2022-01-31;79;0;13;0;26;False
